num,zid,pid,stock
114,4a1058c72d9512df98b081dfb0d80a62,pop8003996576,NotExists
114,4a1058c72d9512df98b081dfb0d80a62,pop8003996576,NotExists
114,4a1058c72d9512df98b081dfb0d80a62,pop8003996621,NotExists
114,4a1058c72d9512df98b081dfb0d80a62,pop8003996576,NotExists
115,6e9697a095f049955239a48d12d993e2,pop8010627180,NotExists
115,6e9697a095f049955239a48d12d993e2,pop8010629525,NotExists
116,b344f376ae59108e3a5a86e058c53db4,1130016117,NotExists
117,9a512df29e2429437e2c66004f770024,pop8010476263,NotExists
118,65ef77d564707dc9d5f752f139681373,tz10000862,NotExists
119,6e487b0d393ac916882975dcac781dd1,pop8010701291,NotExists
120,ccfe2e4e44e3ce72f13a1bf4fabd9c34,pop8002138131,NotExists
121,47a056734ded160452b52ba404e199fd,pop8009562671,NotExists
122,aa40e44731558a693ceb2d2b42548e71,pop8005218608,NotExists
122,aa40e44731558a693ceb2d2b42548e71,pop8009327866,NotExists
122,aa40e44731558a693ceb2d2b42548e71,pop8010279816,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,pop8006228197,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,pop8006228197,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,pop8006228197,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,1123050754,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,1123050754,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,pop8006228265,NotExists
123,dbf4bbec99a9dacc88cbc810134047b4,pop8006228197,NotExists
124,c450f634c3929c1d2f952ef7d8f1f56c,pop8001662772,NotExists
125,6fa02d7491be264cd8b957f64e835258,pop8010150582,NotExists
125,6fa02d7491be264cd8b957f64e835258,pop8010150562,NotExists
126,16ffd0ebc31b133b9661ecaebaf7c809,1123231674,NotExists
127,cf7c7cbd78e65202125fb64f1638ee11,pop8005149015,NotExists
127,cf7c7cbd78e65202125fb64f1638ee11,pop8005148967,NotExists
127,cf7c7cbd78e65202125fb64f1638ee11,pop8005148967,NotExists
128,58d92993b110d5814b74875405cd57d2,1000049108,NotExists
129,6127e59ed178e343798c77710ad5ceaf,pop8002020534,NotExists
130,b596dd0814be1a49cc5a2919b98d575d,pop8010639037,NotExists
131,f61c8d375739acf09894dee88513d102,pop8004602523,NotExists
132,c99db4004f87e4dcae2bd7f4d95f4e7b,pop8006906192,NotExists
133,33c6df5d04e6070a6b5b3209dc1e76bf,pop8010451251,NotExists
134,591c2f1bcf1ff5108f4cf81c791a97db,1000021546,NotExists
134,591c2f1bcf1ff5108f4cf81c791a97db,1000021546,NotExists
134,591c2f1bcf1ff5108f4cf81c791a97db,1000021546,NotExists
135,202f5324031392005d7354198f25a168,1105880462,NotExists
137,ad53d4a9c78e5664fe8f061cf6613d34,pop8005463369,NotExists
138,698fe5f5112831a1de554fef109f92af,pop8009873353,NotExists
139,a368f7028dda06a57e7b48cee3ee4593,1130016961,NotExists
140,2c342e9f3db93241a3754faca44b5d1d,pop8009950100,NotExists
140,2c342e9f3db93241a3754faca44b5d1d,pop8009944593,NotExists
141,cdb43f13db70da7fa166a76137cfc1fc,1130003983,NotExists
142,474c1132ee0c2c94631309b3cb193192,1130029575,NotExists
142,474c1132ee0c2c94631309b3cb193192,1130029574,NotExists
143,6cbfb1717daab7205a30570c1d32e44e,pop8010684794,NotExists
143,6cbfb1717daab7205a30570c1d32e44e,1130051648,NotExists
143,6cbfb1717daab7205a30570c1d32e44e,pop8010684794,NotExists
144,46933814f4331d26635ae4453f23b925,pop8009825917,NotExists
145,f0e336b924c9314aadd2b52a3696e748,pop8010629346,NotExists
146,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540971,NotExists
146,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540972,NotExists
146,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540971,NotExists
146,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010518195,NotExists
146,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010713670,NotExists
147,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540971,NotExists
147,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540972,NotExists
147,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010540971,NotExists
147,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010518195,NotExists
147,99a0f63ac8304e2fadf017cac5f4ce0c,pop8010713670,NotExists
148,1f9a1166bc498aadda599dc973e91e41,pop8010601402,NotExists
148,1f9a1166bc498aadda599dc973e91e41,pop8010601037,NotExists
148,1f9a1166bc498aadda599dc973e91e41,pop8010595547,NotExists
149,9cda1818069100cade31e3553b64679a,1000035697,NotExists
150,cff5670e4ec5828500ab9415d443a7cd,pop8009662693,NotExists
151,f1886e0a095da5f19d9a6195e1f2632d,pop8008819249,NotExists
152,99d61621d708bf14fa9e3fed4209739c,1123230823,NotExists
152,99d61621d708bf14fa9e3fed4209739c,1130528631,NotExists
152,99d61621d708bf14fa9e3fed4209739c,pop8009622061,NotExists
152,99d61621d708bf14fa9e3fed4209739c,pop8009622059,NotExists
152,99d61621d708bf14fa9e3fed4209739c,pop8009622063,NotExists
152,99d61621d708bf14fa9e3fed4209739c,pop8009622061,NotExists
152,99d61621d708bf14fa9e3fed4209739c,1130016161,NotExists
152,99d61621d708bf14fa9e3fed4209739c,1130016285,NotExists
152,99d61621d708bf14fa9e3fed4209739c,1130016161,NotExists
153,d890ce7a43481fe0f194372ce0af437d,pop8009709875,NotExists
154,19f465df58e2b0fb66ff83b33f0596ea,pop8004791485,NotExists
155,1783c004732ffe31eb2c1b3d504f7a2d,tz10003642,NotExists
155,1783c004732ffe31eb2c1b3d504f7a2d,pop8005001491,NotExists
156,9c89b401892aa6f8072a04ebfb709c72,pop8007636796,NotExists
156,9c89b401892aa6f8072a04ebfb709c72,pop8007702642,NotExists
157,da8345db3eea5202372cc834467ebdc5,pop8002585103,NotExists
157,da8345db3eea5202372cc834467ebdc5,pop8002585103,NotExists
158,cb8ea54f05da161bb9ec4e249731fee5,1000010918,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010528208,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010528208,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010528208,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010528208,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,1130548204,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010504974,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010705897,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010707030,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010707030,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010707024,NotExists
159,58f734b553dd35f27a0bcedab99c59b9,pop8010707026,NotExists
160,de6f952ac5ac4041222637d3f9f48eed,1123460365,NotExists
161,6742412e26b312763301d77d0f413c3c,1123502201,NotExists
162,ec1795ffe7b9a5077d6e9de86074a471,pop8009636190,NotExists
163,b7466e2bdcb90dff3a125b5314b5b625,pop8009314015,NotExists
164,57f281b5fa5323218ac599ea8eb731ad,pop8007652289,NotExists
165,7f88ed91f74f9f63721abe7985fc7538,1130033710,NotExists
165,7f88ed91f74f9f63721abe7985fc7538,1130034877,NotExists
165,7f88ed91f74f9f63721abe7985fc7538,1130034877,NotExists
165,7f88ed91f74f9f63721abe7985fc7538,1130034878,NotExists
166,7f6c6c4d021e8b54a124489c8bc2bfad,pop8008021060,NotExists
167,2fd86cb95efe75581d920b14acfe6335,pop8006565857,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,1000041764,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,1000041781,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,1000041781,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,1000041779,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,1000041781,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,pop8005419524,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,pop8009287526,NotExists
168,5657c7662e96eb408aef3fec8c78ea9b,pop8009287526,NotExists
169,5dd13b5cf7c48c7381e7c186acb2920e,pop8009647114,NotExists
170,babe4e0f08bc46ae5ae3714085759a75,pop8010683645,NotExists
170,babe4e0f08bc46ae5ae3714085759a75,pop8010683639,NotExists
171,dcf2bad0113bcd32a01e42ce7b960831,pop8006906192,NotExists
172,8eac8ebbc8b9655b9b0dcc2c12c218ef,pop8010584295,NotExists
173,ef79abda31cf254cc9bb6af93a8b5cf7,pop8006162060,NotExists
174,16a6f1ea04d007ff5e52a659bd091021,pop8010476404,NotExists
174,16a6f1ea04d007ff5e52a659bd091021,pop8010237334,NotExists
174,16a6f1ea04d007ff5e52a659bd091021,pop8010476404,NotExists
174,16a6f1ea04d007ff5e52a659bd091021,pop8010237334,NotExists
174,16a6f1ea04d007ff5e52a659bd091021,pop8010571527,NotExists
175,ef86c55e853bf5c1d63836e62813774a,pop8010698933,NotExists
175,ef86c55e853bf5c1d63836e62813774a,pop8009822126,NotExists
175,ef86c55e853bf5c1d63836e62813774a,pop8009822126,NotExists
175,ef86c55e853bf5c1d63836e62813774a,pop8009175431,NotExists
176,3a002523a104c3358b16c86a836001cd,1121900224,NotExists
177,f1886e0a095da5f19d9a6195e1f2632d,pop8008819249,NotExists
178,af86368d71c278588c4f1ef8cf26c183,1122450763,NotExists
179,790431ca8784ba6202a10b7c195c5939,pop8010697709,NotExists
180,c2f927ef5f7eccd4f44e0e53cdef39e1,pop8004008898,NotExists
180,c2f927ef5f7eccd4f44e0e53cdef39e1,pop8004008898,NotExists
181,ad39969bbfb1f4f587ff2658305d4b21,pop8010189487,NotExists
182,b8aa653f3305c1ff698f996de9897888,pop1933353,NotExists
182,b8aa653f3305c1ff698f996de9897888,pop8010203072,NotExists
182,b8aa653f3305c1ff698f996de9897888,pop8010195651,NotExists
182,b8aa653f3305c1ff698f996de9897888,pop8010195649,NotExists
182,b8aa653f3305c1ff698f996de9897888,pop8010279852,NotExists
183,6eef7ef5e48577a2052078b335a649d4,1123201376,NotExists
183,6eef7ef5e48577a2052078b335a649d4,pop8008633113,NotExists
183,6eef7ef5e48577a2052078b335a649d4,pop8008170659,NotExists
184,3eae38e1571fd5ddd0647b31326a321e,pop8003184026,NotExists
185,65e6170c229e04b07fe5580348f54227,pop8006825603,NotExists
